Source,Target,Relation
形势与政策,2024-12-06,考试日期
计算机组成原理,2024-12-25,考试日期
数据库原理,2025-01-02,考试日期
大创系统,2024-12-31,提交日期
数据挖掘,2024-12-31,大作业提交日期
神经网络,2024-12-27,大作业答辩日期
大创,2024-12-20,中期答辩日期
大创,2024-12-15 17:00,中期答辩PPT提交日期
数字图像处理,2024-12-11 13:30,期中考试日期
专业英语,2024-12-10 9:40,期末考试日期
专业英语,天翼云息壤杯大模型微调幻觉竞赛,相关活动
操作系统,OS实验10,实验编号
操作系统,OS实验11,实验编号
数字图像处理,实验报告,相关文档
大创,LLM&TKGC,项目名称
大创,张老师,API更改指导老师
前端,多轮对话历史记录,功能合并
前端,知识图谱构建,功能扩充
前端,可视化知识图谱,功能实现
开题PPT,知识图谱构建部分,修改扩充
中期报告,文档模板,需求确认
数据,1.4亿,下载
PDF,markdown,转换方案
spaCy,分词,使用工具
spaCy,词性标注,使用工具
spaCy,命名实体识别,使用工具
spaCy,依存关系解析,使用工具
考研,408,科目
考研,数学,科目
考研,英语,科目
思知,AI知识助手,工具
语言,伤害,可能性原因
